statename,rank,countryd,val2010,val2011,val2012,val2013,share10,share11,share12,share13,change
DISTRICT OF COLUMBIA,6,Italy,20.62,15.02,21.24,33.81,3.0912,3.3807,4.753,5.5269,59.19
DISTRICT OF COLUMBIA,7,India,1.2,3.24,10.99,33.2,0.1796,0.729,2.4595,5.4266,202.04
DISTRICT OF COLUMBIA,8,Japan,178.47,20.53,42.03,28.62,26.7555,4.6211,9.4048,4.6785,-31.9
DISTRICT OF COLUMBIA,9,China,27.08,16.54,19.87,21.09,4.0594,3.7229,4.4458,3.4469,6.14
DISTRICT OF COLUMBIA,10,Brazil,1.63,1.53,6.94,16.19,0.2447,0.3437,1.5521,2.6466,133.44
DISTRICT OF COLUMBIA,11,Ireland,2.03,1.5,4.77,14.35,0.3045,0.3376,1.0678,2.3462,200.79
DISTRICT OF COLUMBIA,12,Mexico,22.72,20.73,20.04,14.18,3.4061,4.666,4.485,2.3173,-29.27
DISTRICT OF COLUMBIA,13,Argentina,7.99,10.56,16.93,11.97,1.1984,2.3759,3.7881,1.9561,-29.31
DISTRICT OF COLUMBIA,14,"Korea, South",78.82,15.77,6.35,11.86,11.8161,3.5486,1.4214,1.9391,86.76
DISTRICT OF COLUMBIA,15,Netherlands,9.26,87.49,5.45,10.03,1.3888,19.6927,1.2194,1.6399,84.11
DISTRICT OF COLUMBIA,16,Malaysia,5.84,3.33,5.5,7.45,0.8759,0.7495,1.2301,1.2179,35.54
DISTRICT OF COLUMBIA,17,Spain,2.78,5.88,11.94,5.6,0.4168,1.3239,2.671,0.9158,-53.06
DISTRICT OF COLUMBIA,18,Switzerland,2,13.18,4.4,5.56,0.3001,2.967,0.9855,0.909,26.27
DISTRICT OF COLUMBIA,19,Australia,12.22,4.59,6.78,4.47,1.8324,1.0328,1.5171,0.7314,-34
DISTRICT OF COLUMBIA,20,Sweden,4.23,3.11,2.56,3.94,0.6345,0.6999,0.5724,0.6449,54.23
DISTRICT OF COLUMBIA,21,Norway,8.6,6.31,4.87,3.72,1.2895,1.4213,1.0905,0.6083,-23.63
DISTRICT OF COLUMBIA,22,Belgium,0.8,1.19,4.73,3.57,0.1202,0.2669,1.058,0.5829,-24.58
DISTRICT OF COLUMBIA,23,Austria,1.26,5.79,13.92,3.02,0.1893,1.3022,3.1154,0.4935,-78.31
DISTRICT OF COLUMBIA,24,Israel,0.87,1.63,1.21,2.22,0.1299,0.3676,0.2715,0.3634,83.22
DISTRICT OF COLUMBIA,25,Thailand,5.41,2.37,2.4,1.88,0.8115,0.5334,0.5367,0.3069,-21.73
FLORIDA,0,World,56271.2,65339.58,71216.13,72118.75,2.9402,2.9591,3.1299,3.1805,1.27
FLORIDA,0,Top 25,45744.79,52874.78,57771.86,59832.43,81.2934,80.923,81.1219,82.9638,3.57
FLORIDA,1,China,10336.38,11072.36,11603.81,11757.8,18.3689,16.9459,16.2938,16.3034,1.33
